,HLAA0201,HLAA2403,HLAA3201,HLAB0702,HLAB3901,HLAB1517,HLAC0602,HLAC1402,HLAC1502
0,3447,1144,826,2125,1379,459,208,222,158
1,1824,999,103,1276,668,822,188,101,83
2,154,1327,8,298,412,445,12,214,170
3,2270,31,258,465,558,911,221,191,101
4,2528,253,627,1281,1363,530,239,137,150
5,4846,535,356,2575,1320,540,136,229,199
6,3161,184,294,3409,1507,1146,230,149,118
7,4624,1318,656,1494,1010,326,206,106,227
8,2501,1306,520,587,1681,231,52,145,63
9,121,912,316,3039,1755,1127,108,92,135
10,5866,406,432,467,141,1142,290,138,149
11,23,513,671,33,251,912,15,104,232
12,7302,1175,538,3373,1636,192,184,136,109
13,6044,742,678,2594,152,4,248,157,188
14,5282,211,712,2915,240,182,22,107,153
15,5717,161,14,3550,467,487,74,8,73
16,7744,1299,270,1675,757,34,270,71,205
17,7815,1041,532,311,853,500,90,213,171
18,6549,667,665,2465,161,227,229,126,157
19,5079,486,742,1646,124,638,164,5,97
20,5091,895,691,1948,1136,1358,190,182,187
21,4750,445,200,938,666,1418,103,44,45
22,5423,575,252,3495,6,159,124,159,239
23,5485,1138,395,3485,1195,946,129,97,138
24,821,227,113,3173,881,310,222,125,110
25,4501,716,701,2585,1258,270,116,116,251
26,8946,442,27,2411,1484,818,194,37,8
27,8972,713,604,481,182,241,286,171,55
28,8809,553,814,720,342,579,234,181,196
29,6942,435,504,999,80,141,295,221,37
30,1051,997,474,185,1560,1059,92,12,246
31,5253,268,465,910,1422,471,66,176,126
32,831,1056,222,496,654,744,8,152,111
33,2177,666,399,2231,847,491,122,217,182
34,6627,597,363,836,501,1099,219,89,168
35,2999,312,331,3266,1575,649,150,146,145
36,6506,526,408,541,1146,302,176,215,186
37,3021,1338,210,530,994,790,182,18,5
38,134,224,646,1151,489,648,299,15,22
39,561,1247,338,562,781,1304,5,55,190
40,5595,1330,145,2724,513,1309,223,7,125
41,2227,1303,55,758,948,1277,89,186,12
42,1112,461,636,1746,1123,776,81,169,204
43,1502,465,77,1764,820,1254,34,155,178
44,6752,933,601,1059,1397,142,55,150,90
45,4807,1005,720,3103,918,1042,139,168,129
46,3426,54,805,3725,191,943,236,90,238
47,1172,108,272,88,1734,728,64,75,44
48,8837,1194,749,1918,1038,215,7,33,64
49,8295,489,568,1285,1431,224,45,123,181
50,3671,722,584,545,576,1348,73,63,71
51,3460,950,255,2864,220,319,213,210,162
52,5893,34,379,2004,1669,1291,173,154,159
53,489,1254,733,2134,713,1097,106,124,76
54,6657,1027,156,3023,379,847,59,204,59
55,5860,85,101,3382,1236,31,253,173,176
56,3930,968,489,2039,223,54,168,16,229
57,7344,703,467,3748,649,1011,26,83,18
58,8952,303,549,867,982,1410,284,64,221
59,7105,1237,818,3407,1069,1044,153,45,15
60,8126,830,193,706,1402,1061,134,226,152
61,8120,426,31,3344,1340,479,145,76,74
62,1874,425,344,3182,565,1052,63,22,7
63,597,416,496,347,34,895,293,109,89
64,1035,141,310,45,458,184,285,111,219
65,2182,1125,416,1990,353,1219,224,4,245
66,8631,946,688,3201,1475,971,252,190,33
67,6606,838,492,1503,726,781,111,61,108
68,2031,1288,456,2872,887,934,20,110,156
69,5449,474,367,2178,249,994,46,52,226
70,18,1098,40,2487,745,438,156,66,242
71,3482,5,283,918,47,1246,228,26,212
72,5782,1233,732,502,1336,773,273,74,92
73,3844,877,553,3104,795,1212,27,96,16
74,6454,45,612,2272,641,152,144,208,96
75,2676,1115,762,2661,53,1425,259,40,75
76,1523,55,241,1774,1553,922,37,13,107
77,2104,506,235,1180,233,1294,97,3,217
78,994,539,204,2891,522,651,191,130,4
79,1741,260,240,3111,1377,958,135,24,116
80,1218,977,79,1078,1629,278,118,30,61
81,5623,688,285,1855,322,1396,160,206,124
